CustomerID,Customer Name,Gender,Age,Occupation,Income Group,City,Region,Registration Date
C0001,Customer 1,Female,19,Worker,Middle,City10,North,2025-04-01
C0002,Customer 2,Female,64,Student,High,City2,East,2024-02-01
C0003,Customer 3,Male,19,Business,High,City1,West,2024-08-09
C0004,Customer 4,Female,64,Student,High,City4,West,2025-05-22
C0005,Customer 5,Male,40,Student,High,City4,West,2024-10-23
C0006,Customer 6,Male,44,Business,High,City2,South,2025-10-06
C0007,Customer 7,Female,25,Business,Middle,City9,West,2025-06-03
C0008,Customer 8,Male,37,Worker,High,City8,West,2025-08-26
C0009,Customer 9,Male,48,Student,High,City7,West,2025-11-11
C0010,Customer 10,Male,41,Business,High,City6,North,2025-03-25
C0011,Customer 11,Male,28,Business,Middle,City6,West,2024-01-31
C0012,Customer 12,Female,20,Worker,High,City10,West,2025-10-24
C0013,Customer 13,Male,28,Business,Low,City1,South,2025-07-06
C0014,Customer 14,Male,43,Business,Middle,City10,East,2025-04-15
C0015,Customer 15,Female,60,Business,High,City1,West,2025-06-08
C0016,Customer 16,Male,51,Business,Low,City7,North,2025-05-07
C0017,Customer 17,Female,54,Business,Low,City9,West,2025-05-11
C0018,Customer 18,Female,44,Worker,Low,City9,East,2025-04-14
C0019,Customer 19,Male,32,Business,Low,City9,South,2024-04-03
C0020,Customer 20,Female,20,Business,Low,City2,North,2025-04-08
C0021,Customer 21,Male,35,Student,Middle,City2,South,2024-12-18
C0022,Customer 22,Female,22,Student,Low,City5,South,2025-11-03
C0023,Customer 23,Female,59,Business,Middle,City8,East,2025-05-23
C0024,Customer 24,Female,25,Student,Middle,City7,East,2025-03-07
C0025,Customer 25,Male,34,Student,Middle,City9,South,2025-09-12
C0026,Customer 26,Female,19,Student,Low,City7,South,2024-02-06
C0027,Customer 27,Male,46,Business,High,City7,South,2025-10-07
C0028,Customer 28,Female,32,Business,High,City1,West,2025-11-22
C0029,Customer 29,Female,60,Business,Middle,City1,East,2024-05-08
C0030,Customer 30,Male,21,Worker,Low,City2,East,2024-11-01
C0031,Customer 31,Male,44,Business,Middle,City3,North,2025-07-28
C0032,Customer 32,Male,55,Student,High,City8,South,2025-09-29
C0033,Customer 33,Male,42,Student,Middle,City2,South,2025-08-10
C0034,Customer 34,Female,55,Student,Middle,City2,West,2024-10-30
C0035,Customer 35,Female,19,Worker,High,City7,East,2024-01-19
C0036,Customer 36,Male,30,Worker,High,City3,East,2025-03-15
C0037,Customer 37,Male,35,Business,Low,City7,East,2025-07-01
C0038,Customer 38,Female,52,Student,Low,City1,North,2024-05-16
C0039,Customer 39,Male,28,Business,Low,City5,East,2025-09-06
