SalesID,Date,CustomerID,ProductID,StoreID,EmployeeID,Quantity,Unit Price,Discount %,Sales Amount,Cost,Profit,Payment Method
1,2025-03-09,C0156,P026,S06,E014,3,17.83,0.1,48.14,48,0.14,Mobile
2,2025-04-27,C0010,P039,S10,E017,9,258.64,0.0,2327.76,1458,869.76,Cash
3,2025-12-11,C0095,P001,S09,E002,2,24.41,0.1,43.94,28,15.94,Transfer
4,2026-05-12,C0163,P002,S02,E018,10,274.71,0.0,2747.1,2450,297.1,Mobile
5,2025-06-14,C0084,P028,S06,E007,6,442.13,0.0,2652.78,1596,1056.78,Card
6,2025-04-21,C0104,P007,S06,E017,10,107.51,0.05,1021.34,910,111.34,Mobile
7,2025-09-24,C0156,P001,S06,E002,6,24.41,0.1,131.81,84,47.81,Cash
8,2026-02-11,C0141,P019,S05,E019,4,186.03,0.1,669.71,504,165.71,Cash
9,2025-10-01,C0106,P038,S02,E005,2,176.65,0.05,335.64,226,109.64,Transfer
10,2025-08-29,C0054,P049,S02,E009,9,328.89,0.1,2664.01,2664,0.01,Mobile
11,2025-07-28,C0140,P004,S02,E018,1,45.02,0.1,40.52,29,11.52,Transfer
12,2026-06-13,C0035,P010,S01,E015,6,50.88,0.1,274.75,228,46.75,Transfer
13,2025-11-20,C0107,P034,S03,E018,1,198.57,0.0,198.57,132,66.57,Cash
14,2025-07-08,C0051,P046,S04,E004,10,17.63,0.15,149.85,110,39.85,Card
15,2025-09-30,C0118,P040,S04,E002,10,80.3,0.0,803.0,550,253.0,Transfer
16,2025-12-30,C0057,P050,S01,E001,8,477.56,0.1,3438.43,2280,1158.43,Mobile
17,2025-09-17,C0142,P005,S01,E001,1,119.18,0.05,113.22,81,32.22,Card
18,2025-02-05,C0136,P034,S04,E007,2,198.57,0.05,377.28,264,113.28,Mobile
19,2026-05-18,C0130,P008,S06,E011,5,216.88,0.05,1030.18,695,335.18,Mobile
20,2025-07-05,C0049,P005,S10,E010,2,119.18,0.05,226.44,162,64.44,Mobile
21,2026-01-08,C0006,P004,S08,E001,10,45.02,0.15,382.67,290,92.67,Cash
22,2025-12-18,C0087,P013,S02,E014,10,182.89,0.15,1554.56,1370,184.56,Card
23,2026-05-29,C0123,P003,S10,E019,9,303.16,0.15,2319.17,1971,348.17,Mobile
24,2025-06-19,C0069,P025,S09,E010,10,345.2,0.15,2934.2,2960,-25.8,Mobile
25,2025-09-19,C0080,P029,S01,E020,10,162.04,0.1,1458.36,1120,338.36,Cash
26,2025-12-31,C0060,P027,S09,E015,8,144.07,0.15,979.68,760,219.68,Card
27,2025-05-29,C0099,P033,S07,E002,8,126.43,0.1,910.3,880,30.3,Cash
28,2025-09-19,C0193,P003,S09,E002,6,303.16,0.0,1818.96,1314,504.96,Transfer
29,2025-11-29,C0087,P024,S05,E019,7,293.47,0.0,2054.29,1736,318.29,Cash
30,2025-12-03,C0031,P030,S02,E005,4,388.69,0.0,1554.76,1200,354.76,Transfer
31,2025-08-27,C0007,P012,S03,E017,7,317.68,0.1,2001.38,1442,559.38,Transfer
32,2026-01-23,C0108,P039,S09,E015,5,258.64,0.1,1163.88,810,353.88,Cash
33,2025-08-26,C0156,P006,S01,E020,4,421.8,0.15,1434.12,1008,426.12,Card
34,2026-02-09,C0098,P039,S04,E020,4,258.64,0.05,982.83,648,334.83,Card
35,2025-01-02,C0183,P032,S05,E015,5,426.8,0.1,1920.6,1495,425.6,Mobile
36,2025-02-01,C0095,P027,S07,E018,3,144.07,0.05,410.6,285,125.6,Transfer
37,2025-11-22,C0155,P047,S02,E019,9,165.58,0.15,1266.69,1323,-56.31,Transfer
38,2026-03-16,C0003,P017,S05,E003,9,146.38,0.1,1185.68,927,258.68,Mobile
39,2025-09-29,C0112,P042,S06,E008,2,302.99,0.05,575.68,474,101.68,Cash
40,2025-05-13,C0075,P028,S01,E003,2,442.13,0.05,840.05,532,308.05,Card
41,2026-03-10,C0188,P002,S01,E003,1,274.71,0.0,274.71,245,29.71,Cash
42,2025-12-14,C0086,P025,S01,E020,1,345.2,0.0,345.2,296,49.2,Cash
43,2026-04-26,C0052,P017,S05,E010,9,146.38,0.05,1251.55,927,324.55,Transfer
44,2025-08-04,C0101,P048,S01,E008,4,310.27,0.05,1179.03,900,279.03,Mobile
